codice_scuola,codice_istituto,gestione,denominazione,grado,indirizzo,cap,codice_comune,comune,lon,lat,fonte,codice_edificio,id_bene,osm_id,alunni,stranieri,stranieri_ue,stranieri_nonue,pct_stranieri,percorso_prevalente,quota_percorso,flag
GEAA840011,GEIC840004,statale,S.MAT. DI VIA L.ARIOSTO,SCUOLA INFANZIA,VIA L.ARIOSTO 1,16159,D969,Genova,8.894861,44.428939,fgb_cognome,0100250037,486102,,,,,,,,,
GEPS07000D,GEPS07000D,statale,LICEO CLASSICO SCIENTIFICO-SPORTIVO KING,LICEO SCIENTIFICO,VIA STURLA 63,16131,D969,Genova,8.980594,44.396214,fgb_civico,0100250396,85422,,1109,23,2,21,2.1,LICEO,1,
GEMM838015,GEIC838004,statale,I.C.SAN G.BATTISTA/CENTURIONE,SCUOLA PRIMO GRADO,SALITA INFERIORE CATALDI 5,16154,D969,Genova,8.843872,44.429126,fgb_civico,0100250323,486047,,273,41,2,39,15,,,
GEPS080004,GEPS080004,statale,"LICEO ""L. LANFRANCONI""",LICEO SCIENTIFICO,VIA AI CANTIERI 2,16158,D969,Genova,8.747563,44.428067,osm_plesso,0100250399,,way/124048939,864,40,6,34,4.6,LICEO,1,
GEAA838011,GEIC838004,statale,XVI GIUGNO,SCUOLA INFANZIA,VIA S. MARIA ALLA COSTA 37,16153,D969,Genova,8.84489,44.43213,fgb_cognome,0100250066,2552224,,,,,,,,,
GEEE838027,GEIC838004,statale,S.EL. - G.RODARI -,SCUOLA PRIMARIA,PIAZZA DI VITTORIO 6,16153,D969,Genova,8.847997,44.430633,fgb_cognome,0100250179,2756703,,204,36,1,35,17.6,,,
GEPS030003,GEPS030003,statale,LS G.D.CASSINI -,LICEO SCIENTIFICO,VIA GALATA 34 CANC.,16121,D969,Genova,8.942073,44.408168,fgb_civico,0100250391,85464,,771,63,4,59,8.2,LICEO,1,
GEAA852017,GEIC85200A,statale,S.MAT. - WALT DISNEY -,SCUOLA INFANZIA,VIA S.BARTOLOMEO DEL FOSSATO 45,16149,D969,Genova,8.902047,44.414264,fgb_civico,0100250033,489930,,,,,,,,,
GEAA807019,GEIC80700C,statale,"SC. INFANZIA ""SARZANO""",SCUOLA INFANZIA,PIAZZA SARZANO 14 A,16128,D969,Genova,8.930428,44.404027,civico,0100250003,,,,,,,,,,
GEPS050008,GEPS050008,statale,LS L. DA VINCI,LICEO SCIENTIFICO,VIA ARECCO 2,16122,D969,Genova,8.974597,44.452853,fgb_civico,0100250394,85411,,1035,78,9,69,7.5,LICEO,1,
GEEE838016,GEIC838004,statale,S.EL. - S.GIOVANNI BATTISTA -,SCUOLA PRIMARIA,VIA ANDREA DEL SARTO 20,16153,D969,Genova,8.849898,44.43013,fgb_civico,0100250176,483591,,225,41,8,33,18.2,,,
GEMM80701D,GEIC80700C,statale,"SC. SECONDARIA ""G.B.BALIANO""",SCUOLA PRIMO GRADO,VICO DI MEZZAGALERA 4,16123,D969,Genova,8.932747,44.405855,osm_plesso,0100251004,,node/4219506101,104,45,1,44,43.3,,,
GEMM83101A,GEIC831009,statale,I.C. MARASSI /SMS LOMELLINI,SCUOLA PRIMO GRADO,PIAZZA G.FERRARIS 4 B,16142,D969,Genova,8.957983,44.416832,osm_plesso,0100250013,,node/1587021682,328,124,5,119,37.8,,,
GEAA83002B,GEIC83000D,statale,S.MAT. L'ISOLA CHE NON C'E',SCUOLA INFANZIA,VIA BOBBIO 22,16137,D969,Genova,8.946036,44.42124,fgb_cognome,0100250121,481341,,,,,,,,,
GEEE85102N,GEIC85100E,statale,S.EL. - E.MONTALE -,SCUOLA PRIMARIA,VIA CURRO' 23,16151,D969,Genova,8.888428,44.418062,fgb_civico,0100250055,488942,,204,86,4,82,42.2,,,
GEAA831027,GEIC831009,statale,S.INFANZIA DI PIAZZA ROMAGNOSI,SCUOLA INFANZIA,PIAZZA ROMAGNOSI 2,16137,D969,Genova,8.952519,44.413586,fgb_cognome,0100250012,483176,,,,,,,,,
GERH01000G,GERH01000G,statale,IPSSA M.POLO,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE,VIA SCIACCALUGA N. 9,16147,D969,Genova,8.988032,44.395587,civico,,,,649,93,9,84,14.3,PROFESSIONALE,1,
GEEE86402Q,GEIC86400L,statale,S.EL. - S.RICHERI -,SCUOLA PRIMARIA,VIA LIRI 9,16145,D969,Genova,8.955474,44.395572,fgb_cognome,0100250126,2041,,98,12,1,11,12.2,,,
GEEE85101L,GEIC85100E,statale,S.EL. - A.CANTORE -,SCUOLA PRIMARIA,VIA P.RETI 23,16151,D969,Genova,8.88753,44.41547,fgb_civico,0100250322,2542543,,634,443,24,419,69.9,,,
