codice_scuola,codice_istituto,gestione,denominazione,grado,indirizzo,cap,codice_comune,comune,lon,lat,fonte,codice_edificio,id_bene,osm_id,alunni,stranieri,stranieri_ue,stranieri_nonue,pct_stranieri,percorso_prevalente,quota_percorso,flag
MI1A245005,,paritaria,"SCUOLA DELL'INFANZIA ""SALLY MAYER"" COMUNITA' EBRAICA",SCUOLA INFANZIA NON STATALE,VIA SALLY MAYER4/6,20146,F205,Milano,,,nessuna,,,,,,,,,,,
MI1E012002,,paritaria,"SC. ELEM. PAR. SR. COMPASSIONISTE""SANTA GIULIANA FALCONIERI""",SCUOLA PRIMARIA NON STATALE,VIA ZAMAGNA 18,20148,F205,Milano,9.133868,45.474992,civico,,,,122,27,2,25,22.1,,,
MI1A18100B,,paritaria,SCUOLA DELL'INFANZIA A METODO MONTESSORI,SCUOLA INFANZIA NON STATALE,VIA BARTOLINI46,20155,F205,Milano,9.152322,45.492144,civico,,,,,,,,,,,
MIPS535008,,paritaria,LICEO SCIENTIFICO MARCELLINE,SCUOLA SEC. SECONDO GRADO NON STATALE,P.ZA TOMMASEO 1,20123,F205,Milano,9.167238,45.469578,civico,,,,58,4,1,3,6.9,LICEO,1,
MI1A10500T,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA ONTANI1,SCUOLA INFANZIA NON STATALE,VIA ONTANI1,20100,F205,Milano,9.081,45.45437,fgb_cognome,,2518736,,,,,,,,,
MI1E018001,,paritaria,SCUOLA PRIMARIA PARITARIA MARCELLINE,SCUOLA PRIMARIA NON STATALE,VIA QUADRONNO15,20122,F205,Milano,9.19255,45.45432,civico,,,,78,3,1,2,3.8,,,
MIPL30500D,,paritaria,LICEO LINGUISTICO REGINA MUNDI,SCUOLA SEC. SECONDO GRADO NON STATALE,V.BONCOMPAGNI 18,20139,F205,Milano,9.226878,45.440083,civico,,,,76,4,0,4,5.3,LICEO,1,
MI1A24700R,,paritaria,"SCUOLA DELL'INFANZIA ""ACHILLE RICCI""",SCUOLA INFANZIA NON STATALE,VIA CAMILLO SBARBARO 11,20161,F205,Milano,9.182186,45.517175,civico,,,,,,,,,,,
MI1EA8500G,,paritaria,ICS INTERNATIONAL SCHOOL,SCUOLA PRIMARIA NON STATALE,VIALE ORTLES 46,20139,F205,Milano,9.205645,45.439541,civico,,,,220,20,3,17,9.1,,,
MI1A12900A,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA RUSSO,SCUOLA INFANZIA NON STATALE,VIA RUSSO,20100,F205,Milano,,,nessuna,,,,,,,,,,,
MI1A56000T,,paritaria,SCUOLA DELL'INFANZIA COMUNALE ADRIANO,SCUOLA INFANZIA NON STATALE,VIA ADRIANO20,20128,F205,Milano,9.24662,45.51178,fgb_civico,,2521914,,,,,,,,,
MI1M089008,,paritaria,SCUOLA SECONDARIA DI 1° GR. BETLEM,SCUOLA SEC. PRIMO GRADO NON STATALE,V.NOVARA 540,20153,F205,Milano,9.072042,45.489636,civico,,,,34,7,0,7,20.6,,,
MI1E12100N,,paritaria,SCUOLA PRIMARIA PARITARIA FAES MONFORTE BILINGUE,SCUOLA PRIMARIA NON STATALE,VIA G.A. AMADEO 11,20133,F205,Milano,9.231702,45.471077,civico,,,,181,9,1,8,5,,,
MI1A146004,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA SOFFREDINI23,SCUOLA INFANZIA NON STATALE,VIA SOFFREDINI23,20100,F205,Milano,9.223322,45.51529,osm_plesso,,,way/472055384,,,,,,,,
MI1EMR500E,,paritaria,ST. LOUIS SCHOOL,SCUOLA PRIMARIA NON STATALE,VIA MARCO ANTONIO COLONNA 24,20149,F205,Milano,9.153555,45.486489,civico,,,,280,20,2,18,7.1,,,ambiguo
MI1M07400E,,paritaria,SCUOLA SECONDARIA DI 1° GR. SUORE MANTELLATE,SCUOLA SEC. PRIMO GRADO NON STATALE,V. VASARI 16,20135,F205,Milano,9.207197,45.453778,civico,,,,45,1,0,1,2.2,,,
MI1A033005,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA C.DA FORLI'14,SCUOLA INFANZIA NON STATALE,VIA CATERINA DA FORLI'14,20100,F205,Milano,9.142302,45.460486,fgb_civico,,1220654,,,,,,,,,
MI1E132004,,paritaria,SCUOLA ELEMENTARE METODO MONTESSORI,SCUOLA PRIMARIA NON STATALE,VIA BARTOLINI 46,20155,F205,Milano,9.152322,45.492144,civico,,,,81,9,0,9,11.1,,,
MI1A23300V,,paritaria,"SCUOLA DELL'INFANZIA ""S.MARIA DEL SUFFRAGIO""",SCUOLA INFANZIA NON STATALE,VIA CARLO POMA 28,20129,F205,Milano,9.215939,45.464846,civico,,,,,,,,,,,
MISL025006,,paritaria,LICEO ARTISTICO FONDAZIONE SACRO CUORE,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA ROMBON78,20134,F205,Milano,,,nessuna,,,,249,3,0,3,1.2,LICEO,1,
MI1A203003,,paritaria,"SCUOLA DELL'INFANZIA ""ISTITUTO CANOSSIANO""",SCUOLA INFANZIA NON STATALE,VIA DELLA CHIUSA 9,20123,F205,Milano,9.184498,45.457846,civico,,,,,,,,,,,
MI1A111005,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA PASTRENGO10,SCUOLA INFANZIA NON STATALE,VIA PASTRENGO10,20159,F205,Milano,9.187019,45.486641,civico,,,,,,,,,,,
MI1A103006,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA OGLIO23,SCUOLA INFANZIA NON STATALE,VIA OGLIO23,20100,F205,Milano,9.218669,45.440064,fgb_civico,,107962,,,,,,,,,
MIRF105007,,paritaria,ISTITUTO PROFESSIONALE SERVIZI SOCIO-SANITARI MARIA AUSILIATRICE,SCUOLA SEC. SECONDO GRADO NON STATALE,V.BONVESIN DE LA RIVA,20129,F205,Milano,,,nessuna,,,,89,7,0,7,7.9,PROFESSIONALE,1,
MI1M05700R,,paritaria,SCUOLA SECONDARIA DI 1° GR. COLLEGIO S. CARLO,SCUOLA SEC. PRIMO GRADO NON STATALE,C.O MAGENTA 71,20123,F205,Milano,9.169772,45.465581,civico,,,,416,17,2,15,4.1,,,
MIPMC15009,,paritaria,LICEO DELLE SCIENZE UMANE ISTITUTO PREZIOSINE,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA PADRE PLACIDO RICCARDI 5,20132,F205,Milano,9.238972,45.501436,civico,,,,39,1,0,1,2.6,LICEO,1,
MIPLMC5009,,paritaria,INTERNATIONAL INSTITUTE OF HIGHER EDUCATION,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA DON CARLO SAN MARTINO 8,20133,F205,Milano,9.235259,45.467847,civico,,,,4,0,0,0,0,LICEO,1,pochi_alunni
MI1A09900Q,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA VILLANI,SCUOLA INFANZIA NON STATALE,VIA VILLANI DINO 7,20100,F205,Milano,9.188163,45.498808,osm_plesso,,,way/374036263,,,,,,,,
MI1A18000G,,paritaria,"SCUOLA DELL'INFANZIA ""SANTA GEMMA""",SCUOLA INFANZIA NON STATALE,VIA BALDINUCCI88,20158,F205,Milano,9.167373,45.502985,civico,,,,,,,,,,,
MI1E02200L,,paritaria,"SCUOLA ELEM.PAR.""A.LIMONTA""",SCUOLA PRIMARIA NON STATALE,VIA TAGLIAMENTO12,20139,F205,Milano,9.212755,45.443542,civico,,,,68,9,0,9,13.2,,,
MIPLAM5002,,paritaria,LICEO LINGUISTICO INTERNAZIONALE EDMONDO DE AMICIS,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA LAMARMORA 34,20122,F205,Milano,9.201645,45.456842,civico,,,,50,4,1,3,8,LICEO,1,
MI1A104002,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA OGLIO25,SCUOLA INFANZIA NON STATALE,VIA OGLIO25,20100,F205,Milano,9.21742,45.43978,fgb_civico,,2523745,,,,,,,,,
MIPS735002,,paritaria,LICEO SCIENTIFICO LEOPARDI,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA ARENA 13,20123,F205,Milano,9.179353,45.455872,civico,,,,86,1,0,1,1.2,LICEO,1,
MI1A16400N,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA VARESINA6,SCUOLA INFANZIA NON STATALE,VIA VARESINA6,20156,F205,Milano,9.148625,45.494392,civico,,,,,,,,,,,
MI1A06600C,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA GENTILINO4,SCUOLA INFANZIA NON STATALE,VIA GENTILINO4,20100,F205,Milano,9.180698,45.448864,civico,,,,,,,,,,,
MI1E090007,,paritaria,"SCUOLA PRIMARIA PARITARIA ""BEATA VERGINE""",SCUOLA PRIMARIA NON STATALE,VIA GIUSEPPE TERRAGNI 36,20148,F205,Milano,9.133409,45.4859,civico,,,,69,10,1,9,14.5,,,
MI1A21900L,,paritaria,"SCUOLA DELL'INFANZIA ""MARIA CONSOLATRICE""",SCUOLA INFANZIA NON STATALE,VIA MELCHIORRE GIOIA51,20124,F205,Milano,9.198421,45.487614,civico,,,,,,,,,,,
MI1A12800E,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA RUFFINI6/A,SCUOLA INFANZIA NON STATALE,VIA RUFFINI6/A,20100,F205,Milano,9.17033,45.466867,fgb_cognome,,115848,,,,,,,,,
MI1A25000L,,paritaria,"SCUOLA DELL'INFANZIA ""COR JESU""",SCUOLA INFANZIA NON STATALE,VIA TEANO21,20161,F205,Milano,9.161482,45.528166,civico,,,,,,,,,,,
MI1A55900N,,paritaria,SCUOLA DELL'INFANZIA NUOVA EDUCAZIONE,SCUOLA INFANZIA NON STATALE,VIA PACE 10,20122,F205,Milano,9.250936,45.477801,fgb_cognome,,111457,,,,,,,,,
MIPS295009,,paritaria,LICEO SCIENTIFICO FONDAZIONE SACRO CUORE,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA ROMBON 78,20134,F205,Milano,9.252831,45.486852,nominatim,,,,205,4,0,4,2,LICEO,1,
MI1M07300P,,paritaria,SCUOLA SECONDARIA DI 1° GR. FONDAZIONE SACRO CUORE,SCUOLA SEC. PRIMO GRADO NON STATALE,VIA ROMBON78,20134,F205,Milano,,,nessuna,,,,265,6,0,6,2.3,,,
MIPQ01500X,,paritaria,ISTITUTO PREZIOSISSIMO SANGUE - LICEO PARITARIO DELLE SCIENZE UMANE,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA PADRE PLACIDO RICCARDI 5,20132,F205,Milano,9.238972,45.501436,civico,,,,84,1,0,1,1.2,LICEO,1,
MI1A032009,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA C.DA CASTELLO5,SCUOLA INFANZIA NON STATALE,VIA CASTELLINO DA CASTELLO5,20100,F205,Milano,9.15878,45.49591,fgb_civico,,2516560,,,,,,,,,
MI1A110009,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA PARENZO12,SCUOLA INFANZIA NON STATALE,VIA PARENZO12,20100,F205,Milano,9.140593,45.440115,fgb_civico,,115809,,,,,,,,,
MI1A232003,,paritaria,"SCUOLA DELL'INFANZIA ""LIBERA SCUOLA RUDOLF STEINER""",SCUOLA INFANZIA NON STATALE,VIA TOMMASO PINI 1,20134,F205,Milano,9.24083,45.48473,fgb_civico,,2523737,,,,,,,,,
MI1A05600T,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA DEVOTO7,SCUOLA INFANZIA NON STATALE,VIA DEVOTO7,20100,F205,Milano,9.234119,45.463982,osm_plesso,,,way/338886275,,,,,,,,
MI1A20600E,,paritaria,"SCUOLA DELL'INFANZIA ""MICHELANGELO VIRGILLITO""",SCUOLA INFANZIA NON STATALE,P.ZZA FERRAVILLA 2,20129,F205,Milano,9.222866,45.470761,civico,,,,,,,,,,,
MI1A10000P,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA MUZIO9,SCUOLA INFANZIA NON STATALE,VIA MUZIO9,20100,F205,Milano,9.199416,45.491229,civico,,,,,,,,,,,
MITF035002,,paritaria,"ISTITUTO TECNICO SETTORE TECNOLOGICO IND.MECCANICA E MECCATRONICA""DON BOSCO""",SCUOLA SEC. SECONDO GRADO NON STATALE,VIA TONALE19,20125,F205,Milano,9.201375,45.489336,civico,,,,131,3,0,3,2.3,TECNICO,1,
MI1A21300N,,paritaria,"SCUOLA DELL'INFANZIA ""DEVOTA MACULAN""",SCUOLA INFANZIA NON STATALE,VIA INGANNI12,20147,F205,Milano,9.127564,45.448013,civico,,,,,,,,,,,
MIPM58500Q,,paritaria,LICEO DELLE SCIENZE UMANE PARITARIO FAES CITTA' STUDI,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA ZANOIA ANG. VIA PONZIO,20133,F205,Milano,,,nessuna,,,,105,1,0,1,1,LICEO,1,
MI1M06000L,,paritaria,SCUOLA SECONDARIA DI 1° GR. ISTITUTO GONZAGA,SCUOLA SEC. PRIMO GRADO NON STATALE,V.VITRUVIO 41,20124,F205,Milano,9.252066,45.444769,fgb_cognome,,1225230,,209,8,1,7,3.8,,,ambiguo
MIPSVC500V,,paritaria,LICEO SCIENTIFICO OPZ. SCIENZE APPLICATE MARIA AUSILIATRICE,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA BONVESIN DE LA RIVA 12,20129,F205,Milano,9.212164,45.463677,civico,,,,118,3,0,3,2.5,LICEO,1,
MI1A153007,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA TAJANI14,SCUOLA INFANZIA NON STATALE,VIA TAJANI14,20100,F205,Milano,9.236842,45.4731,civico,,,,,,,,,,,
MIPS665000,,paritaria,LICEO SCIENTIFICO A INDIRIZZO SPORTIVO CLOE GIANI,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA TOMMASO GULLI 39,20147,F205,Milano,9.130045,45.465162,civico,,,,60,2,0,2,3.3,LICEO,1,
MI1A16300T,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA VALLE ANTRONA12,SCUOLA INFANZIA NON STATALE,VIA VALLE ANTRONA12,20100,F205,Milano,9.08885,45.45633,fgb_civico,,2520993,,,,,,,,,
MI1E02100R,,paritaria,"SCUOLA ELEM. PAR.""SUORE MANTELLATE SERVE DI MARIA""",SCUOLA PRIMARIA NON STATALE,VIA G. VASARI 16,20135,F205,Milano,9.207197,45.453778,civico,,,,118,3,0,3,2.5,,,
MIPL94500B,,paritaria,LICEO LINGUISTICO QUADRIENNALE ISTITUTO LEOPARDI,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA DEL CARROCCIO 9,20123,F205,Milano,9.17298,45.459898,civico,,,,25,2,2,0,8,LICEO,1,
MI1E089003,,paritaria,"SCUOLA PRIMARIA PARITARIA ""BETLEM""",SCUOLA PRIMARIA NON STATALE,VIA NOVARA540,20153,F205,Milano,9.072042,45.489636,civico,,,,48,13,3,10,27.1,,,
MI1A090009,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA MELERI12,SCUOLA INFANZIA NON STATALE,VIA MELERI12,20100,F205,Milano,9.24713,45.45742,fgb_cognome,,2518204,,,,,,,,,
MI1A258007,,paritaria,"SCUOLE DELL'INFANZIA ""SANT'ANGELA MERICI""",SCUOLA INFANZIA NON STATALE,VIA VESPRI SICILIANI55,20146,F205,Milano,9.146428,45.451725,civico,,,,,,,,,,,
MI1A06500L,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA GALVANI9,SCUOLA INFANZIA NON STATALE,VIA GALVANI9,20100,F205,Milano,9.199973,45.485768,civico,,,,,,,,,,,
MI1A24900C,,paritaria,"SCUOLA DELL'INFANZIA ""BENIAMINO E BICE DONZELLI""",SCUOLA INFANZIA NON STATALE,VIA TAGLIAMENTO12,20139,F205,Milano,9.212755,45.443542,civico,,,,,,,,,,,
MI1M076006,,paritaria,SCUOLA SECONDARIA DI 1° GR. SCUOLA EUROPA,SCUOLA SEC. PRIMO GRADO NON STATALE,V.LE MAJNO 39,20122,F205,Milano,9.205081,45.472397,civico,,,,177,10,2,8,5.6,,,
MI1A13100A,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA SAN ABBONDIO27,SCUOLA INFANZIA NON STATALE,VIA SAN ABBONDIO27,20100,F205,Milano,9.173558,45.42559,osm_plesso,,,way/328813937,,,,,,,,
MIPS20500T,,paritaria,LICEO SCIENTIFICO ZACCARIA,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA DELLA COMMENDA 5,20122,F205,Milano,9.198861,45.459177,civico,,,,102,0,0,0,0,LICEO,1,
MI1A15500V,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA TOLSTOI79,SCUOLA INFANZIA NON STATALE,VIA TOLSTOI79,20146,F205,Milano,9.146846,45.456535,osm_plesso,,,way/664855748,,,,,,,,
MI1A055002,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA DELLA GIUSTIZIA6,SCUOLA INFANZIA NON STATALE,VIA DELLA GIUSTIZIA6,20100,F205,Milano,9.20731,45.49861,fgb_civico,,2523524,,,,,,,,,
MIPL0Z500D,,paritaria,LICEO LINGUISTICO POMERIDIANO MARCELLINE QUADRONNO,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA QUADRONNO 15,20122,F205,Milano,9.19255,45.45432,civico,,,,107,5,2,3,4.7,LICEO,1,
MI1A20500P,,paritaria,"SCUOLA DELL'INFANZIA ""SAN PIO V""",SCUOLA INFANZIA NON STATALE,VIA ENNIO16,20137,F205,Milano,9.217723,45.452835,civico,,,,,,,,,,,
MI1A211002,,paritaria,"SCUOLA DELL'INFANZIA ""SAN MARTINO IN GRECO""",SCUOLA INFANZIA NON STATALE,P.ZZA GRECO 11,20125,F205,Milano,9.212075,45.502067,civico,,,,,,,,,,,
MI1A08500T,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA MARTINELLI57,SCUOLA INFANZIA NON STATALE,VIA MARTINELLI57,20100,F205,Milano,9.134126,45.439821,fgb_cognome,,1226192,,,,,,,,,
MI1A02300E,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA BRIVIO8,SCUOLA INFANZIA NON STATALE,VIA BRIVIO8,20156,F205,Milano,9.144677,45.503677,fgb_civico,,1211591,,,,,,,,,
MI1A238002,,paritaria,"SCUOLA DELL'INFANZIA ""LUIGI CISLAGHI""",SCUOLA INFANZIA NON STATALE,VIA B. RUCELLAI 15,20126,F205,Milano,9.222311,45.512478,civico,,,,,,,,,,,
MI1A166009,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA VERGA19,SCUOLA INFANZIA NON STATALE,VIA VERGA19,20100,F205,Milano,9.16021,45.46236,fgb_cognome,,2519433,,,,,,,,,
MI1M05800L,,paritaria,SCUOLA SECONDARIA DI 1° GR. ORSOLINE S. CARLO,SCUOLA SEC. PRIMO GRADO NON STATALE,V. LANZONE 53,20123,F205,Milano,9.174577,45.461511,civico,,,,126,8,1,7,6.3,,,
MI1A0P5005,,paritaria,SCUOLA DELL'INFANZIA ISTITUTO LEONE XIII,SCUOLA INFANZIA NON STATALE,VIA LEONE XIII 12,20145,F205,Milano,,,nessuna,,,,,,,,,,,fuori_comune
MI1A190006,,paritaria,"SCUOLA DELL'INFANZIA ""SANT'ANGELA MERICI""",SCUOLA INFANZIA NON STATALE,VIA CAGLIERO24,20125,F205,Milano,9.200784,45.496744,civico,,,,,,,,,,,
MIRF6M5002,,paritaria,ODONTOTECNICO CASATI,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA MONTECUCCOLI 44,20147,F205,Milano,9.135491,45.459582,civico,,,,98,51,2,49,52,PROFESSIONALE,1,
MIPLVI500L,,paritaria,LICEO LINGUISTICO SCUOLA EUROPA,SCUOLA SEC. SECONDO GRADO NON STATALE,VIALE MAJNO 39,20122,F205,Milano,9.205081,45.472397,civico,,,,124,9,2,7,7.3,LICEO,1,
MIPSTF500R,,paritaria,LICEO SCIENTIFICO SCUOLA PARITARIA S. FREUD,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA FULVIO TESTI 7,20159,F205,Milano,9.198293,45.503028,civico,,,,86,7,0,7,8.1,LICEO,1,
MI1A068004,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA GIACOSA46,SCUOLA INFANZIA NON STATALE,VIA GIACOSA46,20127,F205,Milano,9.221643,45.494841,civico,,,,,,,,,,,
MI1A089005,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA MASSENA12/3,SCUOLA INFANZIA NON STATALE,VIA MASSENA12/3,20100,F205,Milano,,,nessuna,,,,,,,,,,,
MI1A8A5001,,paritaria,SCUOLA DELL'INFANZIA CADUTI IN MISSIONE DI PACE,SCUOLA INFANZIA NON STATALE,VIA CADUTI IN MISSIONE DI PACE 10,20134,F205,Milano,9.250936,45.477801,fgb_civico,,111457,,,,,,,,,
MI1M10000T,,paritaria,SCUOLA SECONDARIA DI 1° GRADO LE JOSEF TEHILLOT,SCUOLA SEC. PRIMO GRADO NON STATALE,VIA WASHINGTON 21,20146,F205,Milano,,,nessuna,,,,20,1,1,0,5,,,
MI1A19900L,,paritaria,"SCUOLA DELL'INFANZIA ""REGINA MUNDI IMC""",SCUOLA INFANZIA NON STATALE,V.LE CORSICA 82,20137,F205,Milano,9.234169,45.461952,civico,,,,,,,,,,,
MI1M07500A,,paritaria,SCUOLA SECONDARIA DI 1° GR. S. VINCENZO REGINA MUNDI,SCUOLA SEC. PRIMO GRADO NON STATALE,V. BONCOMPAGNI 18,20139,F205,Milano,9.226878,45.440083,civico,,,,253,11,0,11,4.3,,,
MI1A14300L,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA SCALABRINI7,SCUOLA INFANZIA NON STATALE,VIA SCALABRINI7,20100,F205,Milano,9.14231,45.449619,fgb_cognome,,1222767,,,,,,,,,
MI1A13000E,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA SALERNO5,SCUOLA INFANZIA NON STATALE,VIA SALERNO5,20100,F205,Milano,9.14797,45.43822,fgb_civico,,2523756,,,,,,,,,
MITF005006,,paritaria,ISTITUTO TECNICO TECNOLOGICO INFORMATICO S. FREUD,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA ACCADEMIA 26 - VIALE FULVIO TESTI 7,20131,F205,Milano,9.228032,45.48654,civico,,,,418,75,5,70,17.9,TECNICO,1,
MI1A154003,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA TOCE7,SCUOLA INFANZIA NON STATALE,VIA TOCE7,20100,F205,Milano,9.185838,45.492521,civico,,,,,,,,,,,
MI1M05300D,,paritaria,SCUOLA SECONDARIA DI 1° GR. DE AMICIS,SCUOLA SEC. PRIMO GRADO NON STATALE,V.LAMARMORA 34,20122,F205,Milano,9.201645,45.456842,civico,,,,47,5,0,5,10.6,,,
MI1A05800D,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA F.LLI GRIMM11,SCUOLA INFANZIA NON STATALE,VIA FRATELLI GRIMM11,20100,F205,Milano,9.205343,45.518249,osm_plesso,,,way/26193698,,,,,,,,
MI1E11800T,,paritaria,SUORE ANGELICHE,SCUOLA PRIMARIA NON STATALE,VIA BUONARROTI 49,20145,F205,Milano,9.155162,45.472682,civico,,,,169,11,1,10,6.5,,,
MI1A116008,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA PISA5/1,SCUOLA INFANZIA NON STATALE,VIA PISA5/1,20100,F205,Milano,,,nessuna,,,,,,,,,,,
MI1A096008,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA MONTEVELINO10,SCUOLA INFANZIA NON STATALE,VIA MONTEVELINO10,20100,F205,Milano,,,nessuna,,,,,,,,,,,
MI1M083009,,paritaria,SCUOLA SECONDARIA DI 1° GR. MARIO FALCO COMUNITA' EBRAICA,SCUOLA SEC. PRIMO GRADO NON STATALE,V. SALLY MAYER 4/6,20146,F205,Milano,,,nessuna,,,,66,3,0,3,4.5,,,
MI1A217001,,paritaria,"SCUOLA DELL'INFANZIA ""COLLEGIO SAN CARLO""",SCUOLA INFANZIA NON STATALE,C.SO MAGENTA 71,20123,F205,Milano,9.169772,45.465581,civico,,,,,,,,,,,
MI1A034001,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA CATONE30,SCUOLA INFANZIA NON STATALE,VIA CATONE30,20100,F205,Milano,9.17007,45.4997,fgb_cognome,,2523448,,,,,,,,,
MI1A17700Q,,paritaria,"SCUOLA DELL'INFANZIA ""S.ANNA - ISTITUTO LEOPARDI",SCUOLA INFANZIA NON STATALE,VIA ARENA13,20123,F205,Milano,9.179353,45.455872,civico,,,,,,,,,,,
MI1A11800X,,paritaria,SCUOLA DELL'INFANZIA COMUNALE B.NI PORTA NUOVA6,SCUOLA INFANZIA NON STATALE,BASTIONI PORTA NUOVA6,20100,F205,Milano,9.190788,45.480055,civico,,,,,,,,,,,
MIPL08500Q,,paritaria,LICEO LINGUISTICO MARCELLINE,SCUOLA SEC. SECONDO GRADO NON STATALE,P.ZA TOMMASEO 1,20123,F205,Milano,9.167238,45.469578,civico,,,,72,8,1,7,11.1,LICEO,1,
MI1E01500D,,paritaria,"SCUOLA ELEM.PAR.""S.ANGELA MERICI""",SCUOLA PRIMARIA NON STATALE,VIA VESPRI SICILIANI55,20146,F205,Milano,9.146428,45.451725,civico,,,,147,11,2,9,7.5,,,
MIPLRL500B,,paritaria,LICEO LINGUISTICO ZACCARIA,SCUOLA SEC. SECONDO GRADO NON STATALE,VIA DELLA COMMENDA 5,20122,F205,Milano,9.198861,45.459177,civico,,,,75,1,0,1,1.3,LICEO,1,
MI1A084002,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA MANTEGNA10,SCUOLA INFANZIA NON STATALE,VIA MANTEGNA8,20100,F205,Milano,9.168231,45.483789,fgb_cognome,,115820,,,,,,,,,
MI1A02200P,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA BRANCA2,SCUOLA INFANZIA NON STATALE,VIA BRANCA2,20100,F205,Milano,9.13385,45.46731,fgb_cognome,,1220809,,,,,,,,,
MI1EO4500Q,,paritaria,SCUOLA ANDERSEN,SCUOLA PRIMARIA NON STATALE,VIA DON CARLO SAN MARTINO 8,20133,F205,Milano,9.235259,45.467847,civico,,,,231,17,3,14,7.4,,,
MI1A16500D,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA VENINI80,SCUOLA INFANZIA NON STATALE,VIA VENINI80,20100,F205,Milano,9.217897,45.494131,osm_plesso,,,way/560483473,,,,,,,,
MI1E14300E,,paritaria,MERKOS L'INYONEI CHINUCH,SCUOLA PRIMARIA NON STATALE,VIA DELLE FORZE ARMATE61,20147,F205,Milano,9.130526,45.462916,civico,,,,49,19,4,15,38.8,,,
MI1A03500R,,paritaria,SCUOLA DELL'INFANZIA COMUNALE VIA CESALPINO40,SCUOLA INFANZIA NON STATALE,VIA CESALPINO40,20100,F205,Milano,9.23158,45.50734,fgb_cognome,,2521917,,,,,,,,,
MI1E059007,,paritaria,SCUOLA PRIMARIA ISTITUTO SAN GIUSEPPE,SCUOLA PRIMARIA NON STATALE,VIA G.B. DE LA SALLE 5,20132,F205,Milano,9.241928,45.502323,civico,,,,217,27,2,25,12.4,,,
MI1A189002,,paritaria,"SCUOLA DELL'INFANZIA ""IST. SAN PAOLO SUORE ANGELICHE""",SCUOLA INFANZIA NON STATALE,VIA BUONARROTI49,20145,F205,Milano,9.155162,45.472682,civico,,,,,,,,,,,
MI1A25700B,,paritaria,"SCUOLA DELL'INFANZIA ""SUORE MANTELLATE""",SCUOLA INFANZIA NON STATALE,VIA G. VASARI 16,20135,F205,Milano,9.207197,45.453778,civico,,,,,,,,,,,
